Node,Depth,Value,Alpha,Beta
B2,4,-Infinity,3,Infinity
A5,5,3,3,Infinity
B2,4,-Infinity,3,Infinity
A6,5,2,3,Infinity
B2,4,-Infinity,3,Infinity
A4,3,-Infinity,3,Infinity
B2,2,3,3,Infinity
A5,3,Infinity,3,Infinity
B2,4,-Infinity,3,Infinity
A2,5,12,3,Infinity
B2,4,12,12,Infinity
A3,5,2,12,Infinity
B2,4,12,12,Infinity
A4,5,3,12,Infinity
B2,4,12,12,Infinity
A6,5,10,12,Infinity
B2,4,12,12,Infinity
A5,3,12,3,12
B3,4,-Infinity,3,12
A2,5,2,3,12
B3,4,-Infinity,3,12
A3,5,-Infinity,3,12
A2,5,3,3,12
A3,5,-Infinity,3,12
A4,5,3,3,12
A3,5,-Infinity,3,12
A5,5,2,3,12
A3,5,-Infinity,3,12
A6,5,2,3,12
A3,5,-Infinity,3,12
B3,4,-Infinity,3,12
A4,5,2,3,12
B3,4,-Infinity,3,12
A5,5,1,3,12
B3,4,-Infinity,3,12
A6,5,1,3,12
B3,4,-Infinity,3,12
A5,3,-Infinity,3,12
B2,2,3,3,Infinity
A6,3,Infinity,3,Infinity
B3,4,-Infinity,3,Infinity
A2,5,1,3,Infinity
B3,4,-Infinity,3,Infinity
A4,5,1,3,Infinity
B3,4,-Infinity,3,Infinity
A5,5,1,3,Infinity
B3,4,-Infinity,3,Infinity
A6,5,0,3,Infinity
B3,4,-Infinity,3,Infinity
A6,3,-Infinity,3,Infinity
B2,2,3,3,Infinity
A3,1,3,2,3
B3,2,-Infinity,2,3
A2,3,Infinity,2,3
B2,4,-Infinity,2,3
A4,5,2,2,3
B2,4,-Infinity,2,3
A5,5,2,2,3
B2,4,-Infinity,2,3
A6,5,4,2,3
B2,4,4,2,3
A2,3,Infinity,2,3
B3,4,-Infinity,2,3
A4,5,3,2,3
B3,4,3,2,3
A2,3,Infinity,2,3
B4,4,-Infinity,2,3
A2,5,-Infinity,2,3
A3,5,10,2,3
A2,5,10,2,3
B4,4,10,2,3
A2,3,Infinity,2,3
B5,4,-Infinity,2,3
A2,5,-Infinity,2,3
A3,5,11,2,3
A2,5,11,2,3
B5,4,11,2,3
A2,3,Infinity,2,3
B6,4,-Infinity,2,3
A2,5,-Infinity,2,3
A3,5,11,2,3
A2,5,11,2,3
B6,4,11,2,3
A2,3,Infinity,2,3
B3,2,Infinity,2,3
A3,1,3,2,3
B4,2,-Infinity,2,3
A2,3,Infinity,2,3
B2,4,-Infinity,2,3
A4,5,2,2,3
B2,4,-Infinity,2,3
A5,5,2,2,3
B2,4,-Infinity,2,3
A6,5,10,2,3
B2,4,10,2,3
A2,3,Infinity,2,3
B3,4,-Infinity,2,3
A4,5,2,2,3
B3,4,-Infinity,2,3
A5,5,2,2,3
B3,4,-Infinity,2,3
A6,5,2,2,3
B3,4,-Infinity,2,3
A2,3,-Infinity,2,3
B4,2,-Infinity,2,3
A4,3,Infinity,2,3
B2,4,-Infinity,2,3
A2,5,2,2,3
B2,4,-Infinity,2,3
A3,5,1,2,3
B2,4,-Infinity,2,3
A5,5,2,2,3
B2,4,-Infinity,2,3
A6,5,4,2,3
B2,4,4,2,3
A4,3,Infinity,2,3
B3,4,-Infinity,2,3
A2,5,2,2,3
B3,4,-Infinity,2,3
A3,5,1,2,3
B3,4,-Infinity,2,3
A4,5,1,2,3
B3,4,-Infinity,2,3
A5,5,2,2,3
B3,4,-Infinity,2,3
A6,5,1,2,3
B3,4,-Infinity,2,3
A4,3,-Infinity,2,3
B4,2,-Infinity,2,3
A5,3,Infinity,2,3
B2,4,-Infinity,2,3
A2,5,2,2,3
B2,4,-Infinity,2,3
A3,5,1,2,3
B2,4,-Infinity,2,3
A4,5,2,2,3
B2,4,-Infinity,2,3
A5,5,1,2,3
B2,4,-Infinity,2,3
A6,5,1,2,3
B2,4,-Infinity,2,3
A5,3,-Infinity,2,3
B4,2,-Infinity,2,3
A6,3,Infinity,2,3
B2,4,-Infinity,2,3
A2,5,1,2,3
B2,4,-Infinity,2,3
A4,5,1,2,3
B2,4,-Infinity,2,3
A5,5,1,2,3
B2,4,-Infinity,2,3
A6,5,0,2,3
B2,4,-Infinity,2,3
A6,3,-Infinity,2,3
B4,2,-Infinity,2,3
A3,1,-Infinity,2,3
A6,1,2,2,Infinity
A4,1,Infinity,2,Infinity
B2,2,-Infinity,2,Infinity
A2,3,Infinity,2,Infinity
B2,4,-Infinity,2,Infinity
A3,5,3,2,Infinity
B2,4,3,3,Infinity
A5,5,3,3,Infinity
B2,4,3,3,Infinity
A6,5,11,3,Infinity
B2,4,11,11,Infinity
A2,3,11,2,11
B3,4,-Infinity,2,11
A3,5,2,2,11
B3,4,-Infinity,2,11
A4,5,1,2,11
B3,4,-Infinity,2,11
A5,5,2,2,11
B3,4,-Infinity,2,11
A6,5,1,2,11
B3,4,-Infinity,2,11
A2,3,-Infinity,2,11
B2,2,-Infinity,2,Infinity
A3,3,Infinity,2,Infinity
B2,4,-Infinity,2,Infinity
A2,5,3,2,Infinity
B2,4,3,3,Infinity
A5,5,3,3,Infinity
B2,4,3,3,Infinity
A6,5,2,3,Infinity
B2,4,3,3,Infinity
A3,3,3,2,3
B3,4,-Infinity,2,3
A2,5,2,2,3
B3,4,-Infinity,2,3
A3,5,1,2,3
B3,4,-Infinity,2,3
A4,5,1,2,3
B3,4,-Infinity,2,3
A5,5,2,2,3
B3,4,-Infinity,2,3
A6,5,1,2,3
B3,4,-Infinity,2,3
A3,3,-Infinity,2,3
B2,2,-Infinity,2,Infinity
A5,3,Infinity,2,Infinity
B2,4,-Infinity,2,Infinity
A2,5,11,2,Infinity
B2,4,11,11,Infinity
A3,5,3,11,Infinity
B2,4,11,11,Infinity
A4,5,2,11,Infinity
B2,4,11,11,Infinity
A6,5,9,11,Infinity
B2,4,11,11,Infinity
A5,3,11,2,11
B3,4,-Infinity,2,11
A2,5,2,2,11
B3,4,-Infinity,2,11
A3,5,2,2,11
B3,4,-Infinity,2,11
A4,5,1,2,11
B3,4,-Infinity,2,11
A5,5,1,2,11
B3,4,-Infinity,2,11
A6,5,1,2,11
B3,4,-Infinity,2,11
A5,3,-Infinity,2,11
B2,2,-Infinity,2,Infinity
A6,3,Infinity,2,Infinity
B3,4,-Infinity,2,Infinity
A2,5,1,2,Infinity
B3,4,-Infinity,2,Infinity
A3,5,1,2,Infinity
B3,4,-Infinity,2,Infinity
A4,5,0,2,Infinity
B3,4,-Infinity,2,Infinity
A5,5,1,2,Infinity
B3,4,-Infinity,2,Infinity
A6,5,0,2,Infinity
B3,4,-Infinity,2,Infinity
A6,3,-Infinity,2,Infinity
B2,2,-Infinity,2,Infinity
A4,1,-Infinity,2,Infinity
A6,1,2,2,Infinity
A5,1,Infinity,2,Infinity
B2,2,-Infinity,2,Infinity
A2,3,Infinity,2,Infinity
B2,4,-Infinity,2,Infinity
A3,5,3,2,Infinity
B2,4,3,3,Infinity
A4,5,3,3,Infinity
B2,4,3,3,Infinity
A6,5,2,3,Infinity
B2,4,3,3,Infinity
A2,3,3,2,3
B3,4,-Infinity,2,3
A3,5,2,2,3
B3,4,-Infinity,2,3
A4,5,2,2,3
B3,4,-Infinity,2,3
A5,5,1,2,3
B3,4,-Infinity,2,3
A6,5,1,2,3
B3,4,-Infinity,2,3
A2,3,-Infinity,2,3
B2,2,-Infinity,2,Infinity
A3,3,Infinity,2,Infinity
B2,4,-Infinity,2,Infinity
A2,5,12,2,Infinity
B2,4,12,12,Infinity
A4,5,3,12,Infinity
B2,4,12,12,Infinity
A6,5,10,12,Infinity
B2,4,12,12,Infinity
A3,3,12,2,12
B3,4,-Infinity,2,12
A2,5,2,2,12
B3,4,-Infinity,2,12
A3,5,1,2,12
B3,4,-Infinity,2,12
A4,5,2,2,12
B3,4,-Infinity,2,12
A5,5,1,2,12
B3,4,-Infinity,2,12
A6,5,1,2,12
B3,4,-Infinity,2,12
A3,3,-Infinity,2,12
B2,2,-Infinity,2,Infinity
A4,3,Infinity,2,Infinity
B2,4,-Infinity,2,Infinity
A2,5,12,2,Infinity
B2,4,12,12,Infinity
A3,5,3,12,Infinity
B2,4,12,12,Infinity
A6,5,10,12,Infinity
B2,4,12,12,Infinity
A4,3,12,2,12
B3,4,-Infinity,2,12
A2,5,2,2,12
B3,4,-Infinity,2,12
A3,5,2,2,12
B3,4,-Infinity,2,12
A4,5,1,2,12
B3,4,-Infinity,2,12
A5,5,1,2,12
B3,4,-Infinity,2,12
A6,5,1,2,12
B3,4,-Infinity,2,12
A4,3,-Infinity,2,12
B2,2,-Infinity,2,Infinity
A6,3,Infinity,2,Infinity
B3,4,-Infinity,2,Infinity
A2,5,8,2,Infinity
B3,4,8,8,Infinity
A3,5,8,8,Infinity
B3,4,8,8,Infinity
A4,5,8,8,Infinity
B3,4,8,8,Infinity
A5,5,7,8,Infinity
B3,4,8,8,Infinity
A6,5,7,8,Infinity
B3,4,8,8,Infinity
A6,3,8,2,8
B4,4,-Infinity,2,8
A2,5,8,2,8
B4,4,8,2,8
A6,3,8,2,8
B6,4,-Infinity,2,8
A2,5,8,2,8
B6,4,8,2,8
A6,3,8,2,8
B2,2,8,8,Infinity
A5,1,8,2,8
B3,2,-Infinity,2,8
A2,3,Infinity,2,8
B2,4,-Infinity,2,8
A3,5,2,2,8
B2,4,-Infinity,2,8
A4,5,2,2,8
B2,4,-Infinity,2,8
A5,5,1,2,8
B2,4,-Infinity,2,8
A6,5,1,2,8
B2,4,-Infinity,2,8
A2,3,-Infinity,2,8
B3,2,-Infinity,2,8
A3,3,Infinity,2,8
B2,4,-Infinity,2,8
A2,5,2,2,8
B2,4,-Infinity,2,8
A4,5,2,2,8
B2,4,-Infinity,2,8
A5,5,4,2,8
B2,4,4,4,8
A6,5,1,4,8
B2,4,4,4,8
A3,3,4,2,4
B3,4,-Infinity,2,4
A2,5,3,2,4
B3,4,3,3,4
A4,5,3,3,4
B3,4,3,3,4
A5,5,2,3,4
B3,4,3,3,4
A6,5,2,3,4
B3,4,3,3,4
A3,3,3,2,3
B4,4,-Infinity,2,3
A2,5,2,2,3
B4,4,-Infinity,2,3
A3,5,1,2,3
B4,4,-Infinity,2,3
A4,5,2,2,3
B4,4,-Infinity,2,3
A5,5,1,2,3
B4,4,-Infinity,2,3
A6,5,1,2,3
B4,4,-Infinity,2,3
A3,3,-Infinity,2,3
B3,2,-Infinity,2,8
A4,3,Infinity,2,8
B2,4,-Infinity,2,8
A2,5,2,2,8
B2,4,-Infinity,2,8
A3,5,2,2,8
B2,4,-Infinity,2,8
A5,5,1,2,8
B2,4,-Infinity,2,8
A6,5,10,2,8
B2,4,10,2,8
A4,3,Infinity,2,8
B3,4,-Infinity,2,8
A2,5,3,2,8
B3,4,3,3,8
A3,5,3,3,8
B3,4,3,3,8
A5,5,11,3,8
B3,4,11,3,8
A4,3,Infinity,2,8
B4,4,-Infinity,2,8
A2,5,2,2,8
B4,4,-Infinity,2,8
A3,5,2,2,8
B4,4,-Infinity,2,8
A4,5,1,2,8
B4,4,-Infinity,2,8
A5,5,1,2,8
B4,4,-Infinity,2,8
A6,5,1,2,8
B4,4,-Infinity,2,8
A4,3,-Infinity,2,8
B3,2,-Infinity,2,8
A5,3,Infinity,2,8
B2,4,-Infinity,2,8
A2,5,1,2,8
B2,4,-Infinity,2,8
A3,5,1,2,8
B2,4,-Infinity,2,8
A4,5,1,2,8
B2,4,-Infinity,2,8
A6,5,0,2,8
B2,4,-Infinity,2,8
A5,3,-Infinity,2,8
B3,2,-Infinity,2,8
A6,3,Infinity,2,8
B2,4,-Infinity,2,8
A2,5,1,2,8
B2,4,-Infinity,2,8
A3,5,1,2,8
B2,4,-Infinity,2,8
A4,5,1,2,8
B2,4,-Infinity,2,8
A5,5,0,2,8
B2,4,-Infinity,2,8
A6,5,0,2,8
B2,4,-Infinity,2,8
A6,3,-Infinity,2,8
B3,2,-Infinity,2,8
A5,1,-Infinity,2,8
A6,1,2,2,Infinity
root,0,2,2,Infinity
